Old fbi and cia db leaked by 666 team

"id";"firstname";"lastname";"email";"ip"
"1";"Kim";"Schmidt";"Kim60@hotmail.com";"76.5.169.42"
"2";"Gertrude";"Kerluke";"Gertrude17@hotmail.com";"38f8:3eac:a9ba:be7d:fa1d:fd8e:6dbc:e74d"
"3";"Jody";"Berge";"Jody1@gmail.com";"b3c2:ab2d:4f5e:228b:d84b:ae2f:a0eb:33bd"
"4";"Tyler";"Runolfsdottir";"Tyler.Runolfsdottir19@yahoo.com";"a2fd:7f05:f1be:e6c7:23b6:9b7f:1126:c53f"
"5";"Johnnie";"Wintheiser";"Johnnie_Wintheiser95@yahoo.com";"103.133.238.4"
"6";"Gilberto";"Emard-Vandervort";"Gilberto_Emard-Vandervort64@hotmail.com";"176.73.242.14"
"7";"Antoinette";"Predovic";"Antoinette.Predovic@gmail.com";"191.56.244.50"
"8";"Joshua";"Steuber";"Joshua28@yahoo.com";"3caa:6b12:0c14:23ab:da5f:6de8:f16c:bb5f"
"9";"Loren";"Cummings";"Loren_Cummings@gmail.com";"140.141.124.89"
"10";"Tyrone";"Bailey";"Tyrone97@yahoo.com";"b753:1c1f:bfe2:f5f3:c45d:be3c:3bb3:0b9b"
"11";"Alex";"Schmitt";"Alex72@hotmail.com";"1f36:eecf:1f3c:5901:46ee:26f7:a685:0db3"
"12";"Deanna";"Runolfsdottir";"Deanna22@yahoo.com";"c851:ab0d:fd2b:4e7e:d280:69d9:ce6e:bac7"
"13";"Vicki";"Nienow";"Vicki95@yahoo.com";"ce11:4dcc:1dca:d82c:b8c5:9f45:c5a0:c6f9"
"14";"Olivia";"Erdman";"Olivia77@gmail.com";"8d87:d0eb:4727:e37b:6e6b:2e6b:8898:a3cf"
"15";"Andre";"Mayert";"Andre_Mayert@gmail.com";"ddba:0633:113b:7ac9:3ed1:ec0d:409f:d713"
"16";"Brandi";"Trantow";"Brandi94@yahoo.com";"0cb9:65bb:dcc1:2d52:a66f:dfd4:5cc9:e7d4"
"17";"Troy";"Murphy";"Troy.Murphy@gmail.com";"668f:d0ba:afc7:8ada:2cee:efde:fdda:cb3b"
"18";"Matthew";"Donnelly";"Matthew_Donnelly46@hotmail.com";"148.175.166.147"
"19";"Veronica";"Wolf";"Veronica83@gmail.com";"2a41:4b4f:d8dd:b6fc:5bde:ea74:84b1:baa9"
"20";"Heather";"Larson";"Heather75@gmail.com";"31b5:cea4:7e2c:3a19:df6b:ea33:c00b:cd8b"
"21";"Charlene";"Funk";"Charlene.Funk46@yahoo.com";"49.119.11.208"
"22";"Donna";"Kshlerin";"Donna85@hotmail.com";"95.39.138.238"
"23";"Francis";"Rice";"Francis75@yahoo.com";"208.68.158.136"
"24";"Dewey";"Bergstrom";"Dewey.Bergstrom@yahoo.com";"65b7:19c8:9120:9d45:ecdd:1a6e:c5c0:1e0f"
"25";"Kristine";"Ullrich";"Kristine.Ullrich@gmail.com";"242.14.141.20"
"26";"Angelina";"Hickle";"Angelina_Hickle@yahoo.com";"9ec3:c8a6:64dd:39bb:7faa:b9d3:bdcd:a0d8"
"27";"Carla";"Paucek";"Carla_Paucek@yahoo.com";"124.9.1.143"
"28";"Lynn";"Schowalter";"Lynn_Schowalter@hotmail.com";"3d64:363f:d5e5:44af:9a4a:f9de:3abe:107c"
"29";"Eloise";"Tillman";"Eloise_Tillman@yahoo.com";"bff4:51b8:eb21:3dbd:94cc:e5f7:147d:aec9"
"30";"Holly";"Sawayn";"Holly_Sawayn34@yahoo.com";"238.109.232.59"
"31";"Woodrow";"Wisoky-Strosin";"Woodrow_Wisoky-Strosin@hotmail.com";"9.39.208.227"
"32";"Sandra";"Torphy-White";"Sandra_Torphy-White@yahoo.com";"edc0:0cd5:2a82:a317:bd5d:28ba:fbcb:bb5b"
"33";"Cary";"Greenholt";"Cary_Greenholt39@gmail.com";"200.78.25.186"
"34";"Marta";"Deckow";"Marta_Deckow@yahoo.com";"51.247.119.216"
"35";"Ernest";"Hermiston";"Ernest9@gmail.com";"136.108.202.243"
"36";"Sandra";"Bode";"Sandra.Bode77@gmail.com";"219.7.137.232"
"37";"Joanne";"Johns";"Joanne.Johns@gmail.com";"a75e:6ab5:c0da:ebbc:9095:a7d2:deea:56da"
"38";"Patty";"Little";"Patty.Little@gmail.com";"208.222.239.157"
"39";"Lorene";"Medhurst";"Lorene_Medhurst@gmail.com";"121.39.21.181"
"40";"Ben";"Macejkovic";"Ben_Macejkovic@gmail.com";"fecd:ae39:ce3f:b1a3:ad01:08f3:8cab:0fed"
"41";"Lela";"Buckridge";"Lela27@gmail.com";"9a55:8cde:dbb7:0df5:e1aa:d83e:bd6a:59e0"
"42";"Jenna";"Will";"Jenna_Will@hotmail.com";"96b9:3735:d979:f30a:4212:fd26:57ec:0a32"
"43";"Emmett";"Senger";"Emmett.Senger@hotmail.com";"9.22.188.96"
"44";"Camille";"Spinka";"Camille31@gmail.com";"f5b5:604a:cfa4:eb5b:c8a3:c4f5:70bc:90bc"
"45";"Earl";"Stanton";"Earl_Stanton@yahoo.com";"d3e8:fee0:c5ba:befe:6e19:fb38:fd7e:df57"
"46";"Pearl";"Rutherford";"Pearl_Rutherford@yahoo.com";"893a:3ac8:34e0:593b:937e:cdd0:ebd6:dfce"
"47";"Laurie";"Rosenbaum";"Laurie.Rosenbaum17@gmail.com";"136.206.108.121"
"48";"Raymond";"Kuphal";"Raymond.Kuphal47@gmail.com";"160.214.226.243"
"49";"Jenna";"Littel";"Jenna_Littel@hotmail.com";"28b0:d8fe:b7f2:19dc:5bfa:570c:aae2:be4b"
"50";"Gerald";"Howe";"Gerald.Howe52@gmail.com";"cc64:dbef:1e0a:b2dd:fe45:de3c:ac9d:ff8a"
"51";"Essie";"Raynor";"Essie_Raynor@gmail.com";"71.61.236.255"
"52";"Lee";"Quitzon";"Lee3@yahoo.com";"184.246.212.88"
"53";"Clyde";"Bednar";"Clyde50@hotmail.com";"243.72.109.80"
